url,latin_name,common_name
https://www.gobe.si/Gobe/AbortiporusBiennis,Abortiporus biennis,dvoletni polluknjičar
https://www.gobe.si/Gobe/AgaricusAltipes,Agaricus altipes,dolgobetni kukmak
https://www.gobe.si/Gobe/AgaricusArvensis,Agaricus arvensis,poljski kukmak
https://www.gobe.si/Gobe/AgaricusAugustus,Agaricus augustus,veličastni kukmak
https://www.gobe.si/Gobe/AgaricusBisporus,Agaricus bisporus,dvotrosni kukmak
https://www.gobe.si/Gobe/AgaricusBitorquis,Agaricus bitorquis,mestni kukmak
https://www.gobe.si/Gobe/AgaricusBohusii,Agaricus bohusii,šopasti kukmak
https://www.gobe.si/Gobe/AgaricusBresadolanus,Agaricus bresadolanus,Bresadolov kukmak
https://www.gobe.si/Gobe/AgaricusCampestris,Agaricus campestris,travniški kukmak
https://www.gobe.si/Gobe/AgaricusCappellianus,Agaricus cappellianus,resasti kukmak
https://www.gobe.si/Gobe/AgaricusChionodermus,Agaricus chionodermus,belokožni kukmak
https://www.gobe.si/Gobe/AgaricusComtulus,Agaricus comtulus,tratni kukmak
https://www.gobe.si/Gobe/AgaricusImpudicus,Agaricus impudicus,smrdeči kukmak
https://www.gobe.si/Gobe/ConocybeMacrospora,Conocybe macrospora,velikotrosna stožka 
https://www.gobe.si/Gobe/ConocybePygmaeoaffinis,Conocybe pygmaeoaffinis,belobetna stožka
https://www.gobe.si/Gobe/InocybeLacera,Inocybe lacera,raztrgana razcepljenka
https://www.gobe.si/Gobe/InocybeLanuginosa,Inocybe lanuginosa,puhasta razcepljenka
https://www.gobe.si/Gobe/InocybeMixtilis,Inocybe mixtilis,igličevna razcepljenka
https://www.gobe.si/Gobe/OtideaLeporina,Otidea leporina,zajčje uho
https://www.gobe.si/Gobe/OtideaOnotica,Otidea onotica,oslovsko uho
https://www.gobe.si/Gobe/OudemansiellaEphippium,Oudemansiella ephippium,brazdasta širokolistka
https://www.gobe.si/Gobe/RussulaCaerulea,Russula caerulea,grbičasta golobica
https://www.gobe.si/Gobe/RussulaCamarophylla,Russula camarophylla,klena golobica
https://www.gobe.si/Gobe/RussulaCarpini,Russula carpini,gabrova golobica
https://www.gobe.si/Gobe/RussulaCavipes,Russula cavipes,votlobetna golobica
https://www.gobe.si/Gobe/RussulaCessans,Russula cessans,borova golobica
https://www.gobe.si/Gobe/RussulaChloroides,Russula chloroides,ozkolistna golobica
https://www.gobe.si/Gobe/TyromycesChioneus,Tyromyces chioneus,snežnobeli sirovec
https://www.gobe.si/Gobe/TyromycesLacteus,Tyromyces lacteus,beli sirovec
https://www.gobe.si/Gobe/UstilagoMaydis,Ustilago maydis,koruzna snet
https://www.gobe.si/Gobe/VanderbyliaFraxinea,Vanderbylia fraxinea,jesenova večnoluknjičarka
https://www.gobe.si/Gobe/XerocomellusPruinatus,Xerocomellus pruinatus,poprhnjeni polstenec
https://www.gobe.si/Gobe/XerocomusFerrugineus,Xerocomus ferrugineus,datljeva polstenka
https://www.gobe.si/Gobe/XerocomusSubtomentosus,Xerocomus subtomentosus,navadna polstenka
https://www.gobe.si/Gobe/XeromphalinaCampanella,Xeromphalina campanella,pomladna zvončnica
https://www.gobe.si/Gobe/XerophorusOlivascens,Xerophorus olivascens,olivni žoltotrosec
https://www.gobe.si/Gobe/XerulaPudens,Xerula pudens,mili širokolistar
https://www.gobe.si/Gobe/XylariaCarpophila,Xylaria carpophila,žirova lesenjača
https://www.gobe.si/Gobe/XylariaHypoxylon,Xylaria hypoxylon,vitka lesenjača
https://www.gobe.si/Gobe/XylariaLongipes,Xylaria longipes,dolgobetna lesenjača
https://www.gobe.si/Gobe/XylariaPolymorpha,Xylaria polymorpha,kopučasta lesenjača
https://www.gobe.si/Gobe/XylobolusFrustulatus,Xylobolus frustulatus,mozaikasti votlinar
https://www.gobe.si/Gobe/XylodonFlaviporus,Xylodon flaviporus,oranžni zóbnik 
https://www.gobe.si/Gobe/XylodonRadula,Xylodon radula,otočkasti zóbnik
https://www.gobe.si/Gobe/XylodonSambuci,Xylodon sambuci,bezgov zóbnik